Version	Latest teeny version	Initial release date	End of support phase	End of security maintenance phase
1.0	NA	1996-12-25[53]	NA	NA
1.8	1.8.7-p375[54]	2003-08-04[55]	2012-06[56]	2014-07-01[57]
1.9	1.9.3-p551[58]	2007-12-25[59]	2014-02-23[60]	2015-02-23[61]
2.0	2.0.0-p648[62]	2013-02-24[63]	2015-02-24[62]	2016-02-24[62]
2.1	2.1.10[64]	2013-12-25[65]	2016-03-30[66][67]	2017-03-31[68][69]
2.2	2.2.10[70]	2014-12-25[71]	2017-03-28[72]	2018-03-31[69]
2.3	2.3.8[73]	2015-12-25[74]	2018-06-20[75]	2019-03-31[75]
2.4	2.4.8[76]	2016-12-25[77]	2019-04-01[78]	2020-04-01[78]
2.5	2.5.7[79]	2017-12-25[80]	TBA	TBA
2.6	2.6.5[81]	2018-12-25[82]	TBA	TBA
3.0		2020[83][84]	TBA	TBA
